,userid,stars,date,review_head,review,product,product_link
348,Ryan,5,11/10/16,-)Awesome Kicks! G53:Q53,Love my new Fair-trade ethical low-cut sneakers. Comfy as and they look tops! I can tell people are jealous,On Sneakers Lowcuts Blue Organic Fairtrade,https://yotpo.com/go/3wiA163w
349,Anonymous,5,11/03/16,"comfy, great quality undies",Super soft cotton that feels amazing on.,On Boyshort Black Organic Fairtrade,https://yotpo.com/go/2MXux39m
350,Anonymous,5,10/27/16,Lovely,"Arrived very quickly, the thongs are think and comfy soft rubber. The colours are great.",On Natural Rubber Thongs For Good 4 Pack,https://yotpo.com/go/t5POZSLo
351,Jack,5,10/27/16,Comfy,"Really comfy and stylish shirt, thank you!",On Unisex Bear Black Tshirt Organic Fairtrade,https://yotpo.com/go/6VPlP3lB
352,Jack,5,10/27/16,Sweet,"Excellent shoes, was a little worried about no padding as Ive had problems with that before but are comfy as and a great ethical shoe",On Sneakers Hitops Black & White Organic Fairtrade,https://yotpo.com/go/6HBqlVxL
353,Anonymous,5,10/27/16,The best,"These Etiko tees have to be the best tees I've bought. Great fit, affordable and made with the highest ethics.",On Tshirt Unisex Blank White Organic Fairtrade,https://yotpo.com/go/c0Nh8V7B
354,Anonymous,5,10/26/16,A GOOD AND FAIR PURCHASE!,The hoodie arrived and we straight away purchased a second for another family member!,On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
355,Holly,5,10/25/16,All you could ever ask for from a shoe!,"I brought these shoes over a month ago and I've been wearing them practically every day since! Very comfortable and secure feeling shoes, even with my broad feet. It feels great wearing shoes that you know are good for the environment, good for animals, and good for people too!",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
356,Anonymous,5,10/22/16,Fanteestic,"Very happy with my purchase. A nice fitting, soft and ethical plain tee.",On Tshirt Unisex Blank Black Organic Fairtrade,https://yotpo.com/go/b2deHDK4
357,Anonymous,5,10/22/16,Excellent quality,Great sizing and fabric feel. Really well made. Everyone should own one.,On Tshirt Unisex This Shirt Free Slaves Black Organic Fairtrade,https://yotpo.com/go/bmpZaSjL
358,Anonymous,5,10/18/16,Seriously comfy,These are a great fit and very comfy. I will literally buy these and no other undies as long as they keep making them.,On Boyshort Black Organic Fairtrade,https://yotpo.com/go/2MXux39m
