,userid,stars,date,review_head,review,product,product_link
122,Julia B.,5,04/08/19,Exactly what it claims to be,"Fit is true to size the size chart, colours as shown.

Elastic isn't super-tight (if that's something you care about--it's fine for me).",On Etiko Slip On Black & White,https://yotpo.com/go/j1nhEsU2
123,Ashling M.,5,04/08/19,Love😍,These shoes are amazing. So comfy. So chill.,On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
124,Simone R.,5,04/07/19,Awesome and comfy!,Awesome and comfy!,On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
125,Roni S.,5,04/07/19,So comfortable!,"I've been wearing them loads and love them so much! It does pay to measure your feet/other shoes to compare with the size guide, if i hadn't I would have definitely got the wrong size.",On Sneakers Hitops Black & White Organic Fairtrade,https://yotpo.com/go/6HBqlVxL
126,Claire C.,5,04/05/19,Excellent wardrobe staple,Comfy. Good fit. Have 3.,On Racerback Singlet Women's Grey,https://yotpo.com/go/zZ668SU6
127,Jaclyn M.,5,04/05/19,My third pair,This is my third pair of Etiko sneakers because I trashed my first pair using them as work shoes. I bought two more: One pair for work and one pair to take better care of. I wouldn't buy any other brand.,On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
128,K m.,5,04/01/19,Etiko high tops,Great. Comfortable. Close to Converse price point...,On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
129,Andrew N.,5,03/29/19,Awesome Shoes,"Fast delivery, great customer service and nice comfy shoes, on my 3rd pair now and still love wearing them",On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
130,Aimee B.,5,03/29/19,Great undies,"I usually wear Bonds, but I’m trying to make more ethical purchases so I decided to try these out and they have not disappointed me. They’re not that much pricier but are organic cotton and ethically made, so that’s big ticks in my book. They are quite comfortable and the material is soft. Slightly different cut to Bonds’ boylegs, but not enough t...Read More
Read more about review stating Great undies","On Boyleg, Pink, Organic & Fairtrade",https://yotpo.com/go/xaBU7QEg
131,Marcia B.,5,03/29/19,Excellent,Definitely buy again and would definitely recommend them. Washing them in cold wash as advised.,"On Trunks, Eclipse Stripe, Organic & Fairtrade",https://yotpo.com/go/aeZFWRjN
132,Nicole L.,5,03/28/19,Loving my leggings!,"I love these leggings! They’re a really tight weave which means they don’t go see-through as soon as I do a downward dog, but they don’t shed microfibres like other synthetic leggings and yoga pants.

They’re also a way better quality than my previous Bonds cotton leggings too.

Thank you, Etiko!",On Women's Leggings Full Length Black,https://yotpo.com/go/mXuRYnAQ
133,Wendy W.,5,03/27/19,Love my Shoes!!!,I bought these shoes for work so comfy I’ll need to buy a pair for everyday wear.. the sevice was exceptional cause I realised after placing my order that I’d order the wrong size a quick phone call the next day problem fixed and then within the week my new shoes 💜💜💜love love love my new ethically produced shoes.,On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
134,Kevin A.,5,03/26/19,"Ethical, good fit and quick delivery","Finally a place to get ethical clothing staples at a reasonable price. Also, it's nice to find a small tee that doesn't assume I'm tall and skinny so the length is proper for my height (170cm)",On Unisex Grey Marle V-Neck Organic Fairtrade Tee,https://yotpo.com/go/q6YQQA79
135,Bernardine R.,5,03/25/19,Great thongs,"Love these soft spongy, comfy thongs!",On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
136,Tracey C.,5,03/22/19,So soft and comfy,"Love the feel of these beautiful leggings. They're soft, stretchy and comfy. I'm so happy to have found your products and feel good about buying clothes and footwear that are ethically made, organic, and fair trade. Thank you, Etiko :-)",On Women's Leggings Full Length Black,https://yotpo.com/go/mXuRYnAQ
137,Andrew S.,5,03/22/19,Tshirt Unisex Blank Navy Organic Fairtrade,Great T-Shirt and really fast delivery!!,On Tshirt Unisex Blank Navy Organic Fairtrade,https://yotpo.com/go/hDHUYk9Y
138,Amber N.,5,03/21/19,"Great shirt, good quality!","I bought this tee shirt for my husband. He loves It! The quality is very nice and the fit is good. It is a little long in length, but otherwise great find! I would buy more if I wasn't in another country as the $20 shipping charge was a little steep.",On Unisex Bear Black Tshirt Organic Fairtrade,https://yotpo.com/go/6VPlP3lB
139,Andrea G.,5,03/19/19,very well made,"well made, quick delivery, worth the price to have ethically made shoes out of great materials.",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
140,Caroline E.,5,03/18/19,Zoo shirt,"I bought this shirt because it looked a little like the person I was buying it for, so I though it was fun and would make him smile. It actually exceeded my expectations in quality and style. Knowing it has caused no harm in its production gives such positive vibes. I definitely would recommend and will be purchasing again.",On Unisex Charcoal Zoo Beard Print Organic Fairtrade Tee,https://yotpo.com/go/q4dawKyD
141,Daniel F.,5,03/18/19,Best shirt I've ever owned,I've only ever bought cheap kmart shirts in the past. Bought this shirt due to the fair trade certification but I can tell you the quality alone makes it worth every penny. The cotton is super soft and feels like it will last a long time,On Tshirt Unisex Blank Black Organic Fairtrade,https://yotpo.com/go/b2deHDK4
142,Mark W.,5,03/17/19,Happy,Happy with this product thanks,On Sneakers Lowcuts Blue Organic Fairtrade,https://yotpo.com/go/3wiA163w
143,Joshua F.,5,03/16/19,Perfect product,"I love my new sneakers! They're comfortable, they're made of quality material and the colour is awesome. I believe that anyone whom wears Converse sneaker should swap them out for a pair of these awesome shoes (I did), and I would even go out of my way to make that happen. Thank you, guys",On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
144,Daniel H.,5,03/16/19,Super comfortable and quick delivery!,Super comfortable and quick delivery!,"On Trunks, Eclipse Stripe, Organic & Fairtrade",https://yotpo.com/go/aeZFWRjN
145,Amanda N.,5,03/13/19,"Simple, no tags, and good","Simple, no tags, and good quality.","On Boyleg, Black, Organic & Fairtrade",https://yotpo.com/go/pRc4ddkR
146,Bronson H.,5,03/11/19,Awesome shoes!,GOTS Certified Organic!!!,On Etiko Slip On Black & White,https://yotpo.com/go/j1nhEsU2
147,Dimitrios B.,5,03/11/19,Fantastic product - very comfortable,Fantastic product - very comfortable you forget you are wearing it,"On Trunks, Black, Organic & Fairtrade",https://yotpo.com/go/6ni3rAwz
148,Carolyn D.,5,03/11/19,Long sleeve tee,"Great fitting and comfortable shirt.
Very prompt response and delivery from Etiko.
Look forward to further development of products as you continue to support communities through fair trade",On Womens Navy Long Sleeve Organic Fairtrade Tee,https://yotpo.com/go/tz2zdYXb
149,Helen C.,5,03/07/19,Natural rubber jandals,Excellent size and comfy fit👌,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
150,Elizabeth R.,5,03/06/19,Love your thongs,"These thongs look good, are fairly made, use recycled rubber and support great causes. What’s not to like?",On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
151,Rosemary P.,5,03/04/19,Unbeatable service!!!!,"I purchased sea shepherd things for my husbands birthday, but unfortunately bought the wrong size. I was able to exchange them easily and the turn around was so quick!
Great company with great ethics and service and always a pleasure to deal with so thankyou!",On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
152,Bernardine R.,5,03/01/19,"Great thongs. Really love them,","Great thongs. Really love them, so soft to walk in. Keep up the good work guys😊",On Natural Rubber Thongs - Surfrider Foundation,https://yotpo.com/go/9sxK5rGD
153,Hannah E.,5,02/28/19,"Comfortable, great thongs!","I'm so happy with my Etiko thongs, they're super comfy, and the design is exactly as pictured on the website.",On Natural Rubber Thongs - Surfrider Foundation,https://yotpo.com/go/9sxK5rGD
154,Ehryn M.,5,02/26/19,These shoes are exactly what,These shoes are exactly what I wanted. I’ve gotten a few compliments already and have only had them about a week! I’m so much happier I spent a little extra for ethically made equivalent to converse!,On Sneakers Hitops White Organic Fairtrade,https://yotpo.com/go/ocReIg8z
155,Adam D.,5,02/25/19,Good for skateboarding and bmx,Have started using these at the skatepark and they are good. Good board feel and plenty of grip. Not sure how long the hemp will hold up against ollie slide though.,On Etiko Hemp Sneakers All Black w/ Hemp Logo,https://yotpo.com/go/ulBnQWp3
156,Eve C.,5,02/02/19,Good value,Such a wonderful product and great to be able to by a enviro friendly shoe while supporting a good cause.,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
157,Christopher E.,5,01/31/19,"Comfy, cool and ethical","Very happy with these sneakers. Very comfortable. I like the look of them. Didn't realise they had the leaf emblem on the back, but I don't care! Will but again.",On Etiko Hemp Sneakers All Black w/ Hemp Logo,https://yotpo.com/go/ulBnQWp3
158,Elizabeth M.,5,01/30/19,minivans spirit thongs/,"Your thongs,are so comfortable and you customer service is *****",On Natural Rubber Thongs - Mimih Spirits,https://yotpo.com/go/byBkKbp9
159,Shaun C.,5,01/30/19,Love my new sneakers,"Very comfortable.
They seem well made. A year of wear will prove that.
They look great.
I feel good about the fair trade aspect.
All good",On Etiko Hemp Sneakers All Black w/ Hemp Logo,https://yotpo.com/go/ulBnQWp3
160,Leonie T.,5,01/28/19,"TRUNKS, HEATHER CREY.",Not a word from mu husband which means he is happy with them.,"On Trunks, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/1dWQC2y0
161,Anne J.,5,01/28/19,Great product,Better to use sustainable resources. Comfortable too.,On Natural Rubber Thongs - Surfrider Foundation,https://yotpo.com/go/9sxK5rGD
162,Riaz H.,5,01/26/19,Excellent quality,"There’s no doubt that these trunks are of the highest quality. The comfort is second to none. The first lot of etiko trunks I bought lasted many years (about 6 I think) and these look even better than those. The only thing I would change is adding another inch or two of leg length because I prefer longer legs in my trunk. But still giving them 5 s...Read More
Read more about review stating Excellent quality","On Trunks, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/1dWQC2y0
163,Sam S.,5,01/25/19,Hemp Sneakers,"Super comfy & cool looking sneakers.
Main reason for purchase is that Etiko are a fair trade company and Hemp is a very environmentally sustainable material to use.
Been waiting a long long time for these to arrive & so happy.
Just not sure how durable the sneakers are as Im a little worried the sole will part away from the hem...Read More
Read more about review stating Hemp Sneakers",On Etiko Hemp Sneakers All Black w/ Hemp Logo,https://yotpo.com/go/ulBnQWp3
164,Lorri H.,5,01/08/19,Good Quality,Love the graphic on this well made item. Lovely fabric. Recommend,On Women's Cat White Tshirt Organic Fairtrade,https://yotpo.com/go/8w4QzmnR
165,Emily D.,5,01/05/19,Really comfortable and wearing well,Really comfortable and wearing well,On Natural Rubber Thongs - Surfrider Foundation,https://yotpo.com/go/9sxK5rGD
166,Alysha N.,5,01/01/19,😎,😎,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
167,Lily D.,5,01/01/19,Love ❤️,I love my etiko lowcut sneakers ❤️ So ethically sound and comfy all at once!,On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
168,Glenn M.,5,12/29/18,"Cool, fair trunks!","These trunks are super comfy, in a nice colour and are pretty durable!! I've had others last years! They are the only underwear I buy!","On Trunks, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/1dWQC2y0
169,Rachael F.,5,12/15/18,Love!,"Love these shoes! They are very comfortable. I love that they are fair trade and vegan. I found the sizing conversion on the site to be accurate, giving a perfect fit. It was a long wait for them to come (as expected with an Australia to US shipment) since I was anxious to get them. They were worth the wait! Would definitely buy again and recommen...Read More
Read more about review stating Love!",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
170,Judy J.,5,12/05/18,wearing out,great t shirt..great discussion starter,On Tshirt Unisex Wear No Evil Black Organic Fairtrade,https://yotpo.com/go/kA8YM45S
171,Michelle c.,5,12/04/18,comfy undies,I really like my new undies.,"On Bikini, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/wMYbYKke
172,Tara G.,5,12/03/18,Tee --riffic,The Women's Black Organic Fairtrade Tee fits well and is very comfortable to wear. It is a versatile item. I will definitely be buying more of these.,On Womens Black Organic Fairtrade Tee,https://yotpo.com/go/zsKPGyGi
173,Rosie D.,5,12/03/18,Love these shoes,Love these shoes,On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
174,Catherine D.,5,11/28/18,Full briefs,Great shape. Great colour. Great fit.,"On Full Brief, Latte, Organic & Fairtrade",https://yotpo.com/go/oVxKmQU7
175,Andrew M.,5,11/11/18,Good thongs good feelings,Love these thongs and it is also good that they have a message which people can see and then have a conversation about,On Natural Rubber Thongs - Wilderness Society,https://yotpo.com/go/mK6Jn6d7
176,Vlasta n.,5,11/03/18,"They are very aesthetic, of","They are very aesthetic, of great quallity and very very comfortable! I love them and definetely plan to buy another pair in future.",On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
177,Monica R.,5,11/01/18,Honestly the best hoodie money can buy!!!,"I am soo happy i purchased this hoodie, it super high quality, the style of it is perfect, and super cozy, and the bonus its Ethical! other cheap hoodies feel heavy and uncomfortable on me. This hoodie feels light comfortable and still keeps me warm in the long winter months here in Boston, MA the international shipping from AUS to the USA took ab...Read More
Read more about review stating Honestly the best hoodie money can buy!!!",On Unisex Grey Hoodie Organic Fairtrade,https://yotpo.com/go/gyuIlNbk
178,Anthea B.,5,11/01/18,Love them.,Love them.,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
179,Louise J.,5,10/31/18,Fantastic sneakers and 100% fair,Fantastic sneakers and 100% fair trade makes you feel proud to wear.,On Sneakers Lowcuts Blue Organic Fairtrade,https://yotpo.com/go/3wiA163w
180,Natalie H.,5,10/29/18,The perfect sneaker,"These are just as good as I wanted them to be! They even have a little arch support, nice touch! Will buy again!",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
181,Vlasta n.,5,10/28/18,Exquisite,"My new sneakers are excellently made, they are incredibly comfortable and pleasant to wear and extremely good-looking. All in all: exquisite. I love them. Must buy some more!",On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
182,Natasha D.,5,10/28/18,Blue ladies V neck,Great fit and quality,On Womens Navy V-Neck Organic Fairtrade Tee,https://yotpo.com/go/ssstVWIR
183,Daniel C.,5,10/28/18,Great T-Shirts,I bought two of these and they have been great. Comfortable and it goes to show the ridiculous profits other companies must make from similar T-shirt’s that are produced by unethical means. I will be purchasing more. Pity they don’t make sports attire or dress shirts/more polo colours. Well done Etiko.,On Tshirt Unisex Blank Marle Grey Organic Fairtrade,https://yotpo.com/go/17dQA0rh
184,Ariel W.,5,10/27/18,Best sneakers!,This is my second pair of shoes from Etiko - both have been equally great quality and fit. Make sure you check the sizing chart - this led me to buy a smaller size than I would normally wear and it fit perfectly! Look forward to buying my next pair.,On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
185,Jillian C.,5,10/26/18,Super Comfortable and Durable Bikini,Very comfortable bikini cut. The new thicker elastic selvedge/edges seem like they will last a while longer than the last design (not that any of my older Etiko undies have started to deteriorate and they are a year or so old now).,"On Bikini, Latte, Organic & Fairtrade",https://yotpo.com/go/g4W5F5Go
186,Brian M.,5,10/21/18,Good quality!,Buying clothes and shoes online makes me a little cautious as you don’t get to feel the materials. I was surprised how good the materials are in the t-shirt and sneakers delivered last week.,On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
187,Sue H.,5,10/20/18,Beautiful cotton,Lovely quality cotton and a good fit. Will be buying more of these.,On Tshirt Women's Blank Charcoal Organic Fairtrade,https://yotpo.com/go/hhPl4ebo
188,Alexandra C.,5,10/19/18,Awesome! Love them!,"I love these shoes, they are so stylish and cool and it makes you feel great to know that you are doing good things for the planet and other humans and animals too. Would highly recommend buying from this fabulous company.",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
189,Raelene C.,5,10/15/18,Etiko Are Very Efficient,Very pleased with the efficiency of Etiko and their wonderful products. They arrived in no time!,On Natural Rubber Thongs - Animals Australia,https://yotpo.com/go/a4APm7JX
190,Deniz A.,5,10/14/18,I still haven’t received my,I still haven’t received my order...,"On Bikini, Black, Organic & Fairtrade",https://yotpo.com/go/pql9EKnE
191,Sarah B.,5,10/12/18,"great shoes, fantastic business model",I love these shoes. very cute and perfect for summer. but I bought them mainly because you are fair-trade and supporting communities in need. and I was really impressed all the packaging was plastic-free too. Thank you for doing what you do!,On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
192,Adrian W.,5,10/12/18,tshirts and sneakers,"great product, delivered promptly- well done Etiko",On Tshirt Unisex Blank Marle Grey Organic Fairtrade,https://yotpo.com/go/17dQA0rh
193,Bron C.,5,10/12/18,Great Quality,Fast delivery and great quality Tshirt- thanks!,On Tshirt Women's Bike Fish Charcoal Organic Fairtrade,https://yotpo.com/go/9sAezCsC
194,Jane S.,5,10/09/18,Great quality and really comfortable,Great quality and really comfortable,On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
195,Cynthia P.,5,10/08/18,Navy T-shirt,"I have tried it on, and like it! Looking forward to wearing it. The material is very nice!",On Tshirt Women's Blank Navy Organic Fairtrade,https://yotpo.com/go/tEM4VG75
196,Raelene C.,5,10/05/18,Etiko Rubber Thongs,Love that Etiko thongs are made from Recycled & Natural Rubber & that sustainable design initiatives are supported. Always good to support the talent of original artists.,On Natural Rubber Thongs - Stone Country Animals,https://yotpo.com/go/mqWkc7lL
197,Jessica M.,5,10/04/18,Great thongs and super comfy,Great thongs and super comfy from the start!,On Natural Rubber Thongs - Animals Australia,https://yotpo.com/go/a4APm7JX
198,K B.,5,10/01/18,Comfy and guilt free,So comfy! Above all I feel happy to support ethical footwear. Will definitely be buying again.,On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
199,Laura B.,5,09/30/18,Etiko Surfrider Foundation Thongs,"This is the 3rd pair of these thongs I have purchased in the last 5 years and I love them. They are super comfy, they last much longer than other brands I have bought, I love the designs and that by buying them I am helping to support good causes. But ethical!",On Natural Rubber Thongs - Surfrider Foundation,https://yotpo.com/go/9sxK5rGD
200,Daniela P.,5,09/29/18,excellent quality,"This has become my favourite jumper, so cosy. Best purchase in a while!",On Unisex Black Hoodie Organic Fairtrade,https://yotpo.com/go/m6oiIX9D
201,Michelle C.,5,09/23/18,great cut,great cut,On Tshirt Unisex Blank Charcoal Organic Fairtrade,https://yotpo.com/go/8HnGND0c
202,Moira S.,5,09/22/18,Perfect essential tee,✨✌️💫,On Tshirt Women's Blank Black Organic Fairtrade,https://yotpo.com/go/aw6cwHkP
203,Claudia w.,5,09/20/18,Tshirt unisex,"Really nice and soft cotton, very well made tshirt. Definitely buying more like this in the near future.",On Tshirt Unisex Blank White Organic Fairtrade,https://yotpo.com/go/c0Nh8V7B
204,Tara M.,5,09/19/18,Nice!,Very comfortable and flexible. The built in arch is a nice addition.,On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
205,Thomas P.,5,09/19/18,Fulfilled to the brim!,"Now that I own a pair of ethical vegan sneakers, my life is complete.

I don't get much satisfaction out of shopping but knowing that I am spending my money on ethical products gives me plenty of fulfillment. Plus the shoes are super comfy and are cool AF.",On Sneakers Hitops Blue Organic Fairtrade,https://yotpo.com/go/6na2xRJL
206,Moira S.,5,09/17/18,Love my new sneakers 👟,Awesome old skool sneakers....comfortable...and cruelty free what more could you want,On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
207,Nicky,5,09/16/18,"Comfortable, stylish and ethical","My new favourite casual shoes with a molded instep for comfort, street style design and no sweatshop labour",On Sneakers Lowcuts Blue Organic Fairtrade,https://yotpo.com/go/3wiA163w
208,Julia B.,5,09/13/18,Great undies,Underwear fit (sizing is accurate). They do a good job and (to me) are good value for money.,On Organic Fairtrade Underwear Women's Bikini Black,https://yotpo.com/go/w2DoiIwr
209,Rob M.,5,09/11/18,Blue Lowcuts,"Great low cuts, nice colour, fit nicely. V Happy.",On Sneakers Lowcuts Blue Organic Fairtrade,https://yotpo.com/go/3wiA163w
210,Mick D.,5,09/11/18,Happy I went green,"The material and build quality of these babies is tip top.
Etiko I bet you can put an address label straight on your shoe boxes instead of shipping in a plastic post bag too :)",On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
211,Laura R.,5,08/27/18,Great products and customer service,Great products and customer service - Thanks Etiko,On Tshirt Women's Blank Grey Organic Fairtrade,https://yotpo.com/go/8svtAk95
212,Ruth G.,5,08/19/18,Feel good wearing them!,"They're comfy, they're cool looking and I feel good about myself wearing them! I like what this company is trying to achieve and I will recommend them to everyone ✌👍",On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
213,Linda S.,5,08/17/18,Comfy t-shirt,"Awesome colour, soft good quality fabric and awesome customer service.",On Tshirt Unisex Blank Blue Organic Fairtrade,https://yotpo.com/go/iwuE0Eyv
214,Nicholas B.,5,08/16/18,Love them!!!,They are very comfortable :) Much more comfortable than their big-name competitor. It feels great that no animals were harmed and no workers were exploited!,On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
215,Zuzana M.,5,08/16/18,Great fit and matterial,"I bought one and after long time I came back to order more of these.these tshirts are the best.great qvality,long enough and the size fits great.great customer service too.you dont get wrong with these",On Tshirt Women's Blank Charcoal Organic Fairtrade,https://yotpo.com/go/hhPl4ebo
216,Haley L.,5,08/14/18,Amazing quality!,"It is almost impossible to find a sustainable, well-made backpack that doesn't look like the color of dirt, but this is it!!!! Amazing construction, thick canvas, vibrant colors... this will last my little one a long time. I could not be happier with the product!",On BeeKeeper Royal Backpack Red Flowers,https://yotpo.com/go/mRmTHcCi
217,Maura G.,5,08/12/18,Nice shoes,"These are really comfortable, and aren’t tight around the toes if your feet are slightly in the wide side.
Would love to see more styles and colours in the future. Maybe even some knee highs? Hint. Hint ;)",On Sneakers Hitops Blue Organic Fairtrade,https://yotpo.com/go/6na2xRJL
218,Ben F.,5,07/28/18,"Comfortable, smart design, ethical","These trunks are a good well-fitting design, made of soft, comfortable fabric. The fact the fabric is made ethically with good compensation to farmers is wonderful.",On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
219,Jacqueline M.,5,07/23/18,Etikko Mens trunks,Etikko Mens trunks,On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
220,Minnie T.,5,07/17/18,Great service,"Staff were wonderful to re send my order as it was sent back when no one home to receive, thanks",On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
221,Maggie,5,07/15/18,flattering fit,I love this t!! Im a size 14-16 & it is such a flattering fit. great neckline as well. awesome price!,On Tshirt Women's Blank Black Organic Fairtrade,https://yotpo.com/go/aw6cwHkP
222,Emma B.,5,07/13/18,Love them!,Awesome as always!,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
223,Angela F.,5,07/12/18,"Quick delivery, excellent product.","The product was delivered exactly as promised - sizing was perfect. Not the first time I have bought from Etiko, their products are well made and their shoes last me 5+ years of regular wear. Delivery was fast, highly recommend.",On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
224,Amy S.,5,07/12/18,Best shoes!,"What a coincidence, because I'm wearing them right now! They are by far the best shoes I've purchased. I got the black, low-top-esque style, and love their casual ethical make! Also, a really good price, compared to lower quality, and questionably sourced brands.",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
225,Samantha T.,5,07/12/18,"Very comfortable, lasts well. Would","Very comfortable, lasts well. Would recommend! Decently priced for ethical undies. :)",On Bikini Black Organic Fairtrade,https://yotpo.com/go/a49Ti7pz
226,Aurajoy D.,5,07/12/18,My new favorites,"I have been practicing the slow fashion movement for the past year so have only been purchasing resale, handmade or homemade. I really wanted a pair of Chuck Taylor’s but didn’t want to stray from my low environmental impact/human welfare mission. I was so very thrilled to find Etiko. Ordered the white lowtop sneakers and resigned myself to a bit ...Read More
Read more about review stating My new favorites",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
227,Samantha T.,5,06/16/18,Great quality!,"Everything that I have bought from Etiko has been quality and lasted well. I bought this shirt for my boyfriend, however it was too small for him, so I use it myself. I have found it super comfy , hasn't faded and has definitely lasted well! I've tried organic shirts from other companies but they just don't compare to Etiko's quality, would recomm...Read More
Read more about review stating Great quality!",On Unisex Bear Black Tshirt Organic Fairtrade,https://yotpo.com/go/6VPlP3lB
228,John,5,02/28/18,Perfect Fit,The organic cotton feels so soft on my skin. They are easily the most comfortable underwear I have owned.,"On Trunks, Eclipse Stripe, Organic & Fairtrade",https://yotpo.com/go/aeZFWRjN
229,Romy,5,02/09/18,Big Fan,"Just got one of these T-Shirts and absolutely love it! Now I want one in every colour, haha! This brand is quickly taking over my wardrobe. Big fan.",On Tshirt Unisex Blank White Organic Fairtrade,https://yotpo.com/go/c0Nh8V7B
230,Romy,5,02/09/18,Very Happy,Very happy with these trunks. Super comfortable and sturdy. Will def be getting more on other colours.,"On Trunks, Black, Organic & Fairtrade",https://yotpo.com/go/6ni3rAwz
231,Lyds,5,01/28/18,Wouldnt buy any other thongs!,Fantastic quality and guilt free!,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
232,Kiwi,5,11/18/17,No regrets,"I was a bit worried about ordering shoes online without trying them on, but these are super. Great fit and seem very well made. They're so comfy I forget I'm wearing them!",On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
233,Luke,5,05/05/17,Absolutely Brilliant!!,"Awesome Shoes, they are unbelievably comfortable and have minimal to no wear after the stuff i put them through... i wear them all the time.
They're even better quality than shoes made by companies with no restrictions on equipment and resources they can use.
I applaud and adore you Etiko, Thank you for the great product!",On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
234,Steveh,5,04/12/17,Best sandals I've ever owned.,"I bought these for my sauna use(4-6 times/week) It is nice to know that unknown carcinogens are not coming off of them in the heat. The sauna killed my last designer/surfer sandals pretty fast. These still look great. The graphics have faded a tiny bit. NOT BAD for 186 Fahrenheit 4-6 days/week!!! The natural rubber feels much better than past sand...Read More
Read more about review stating Best sandals I've ever owned.",On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
235,Felicity,5,03/17/17,Love these thongs,"I don't like usually like thongs. I find them irritating and find the plastic-ness of most thongs unpleasant on my feet, nothing like the rubber thongs of my childhood. Hadn't worn them for years. Finding these in a health food shop in Darwin a couple of year ago was wildly exciting. I bought a pair for myself (still going strong), a pair for my p...Read More
Read more about review stating Love these thongs",On Natural Rubber Thongs - Free the Bears,https://yotpo.com/go/sN41iCQc
236,Ray,5,01/22/17,Super comfy!,"Impressed with these undies. More comfortable than usual brands, even after several washes. Recommended for your junk.",On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
237,Al,5,01/14/17,Great tee,Love the shirt & great quality!,On Tshirt Unisex Bike Fish Charcoal Organic Fairtrade,https://yotpo.com/go/6FdNRo1A
238,Bec,5,01/12/17,OMG BEST,Love these shoes so MUCH.,On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
239,Gifter,5,01/12/17,Super comfortable,My partner loves these - apparently the best ever.,On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
240,Ab,5,01/09/17,Top class thongs.,Who would think stepping on children would be ethical!?,On Natural Rubber Thongs - Save the Children,https://yotpo.com/go/d5bM882m
241,Jo,5,01/02/17,Very Happy,"Size S = size 10-12, very comfy, lovely fit, no pinching anywhere, divinely soft. Very happy, will be back for more:)",On Bikini Black Organic Fairtrade,https://yotpo.com/go/a49Ti7pz
